,Quarter,ROA,NetIncome,CFV12Q,ERVol12Q,DER,lnTA,CR,Hedge,ERVolM3M,ERVolM12M
count,50,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0
unique,50,,,,,,,,,,
top,2013Q1,,,,,,,,,,
freq,1,,,,,,,,,,
mean,,-0.000383599280000001,-2085.22,0.02493086918,0.0461349725,2.84945516656,15.0024891372,0.6645910882000001,0.36,0.0145935326,0.01766556562
std,,0.05499032031624906,169667.71132221344,0.01103257605216186,0.016727207621624572,2.0485810899614254,0.18217523802492042,0.24789991775753245,0.48487322138506117,0.01200321737574711,0.009417309749389364
min,,-0.074110039,-281084.0,0.010078005,0.019212738,0.794019262,14.66182379,0.262512641,0.0,0.000855348,0.003136125
25%,,-0.0170930335,-47509.75,0.01839856525,0.03178091425,1.0457552835000001,14.847941955,0.512780424,0.0,0.0063344840000000005,0.0111199275
50%,,-0.007529348,-21256.5,0.019566597,0.047175762999999996,2.0577542515,15.034097025000001,0.6842821210000001,0.0,0.013881128999999999,0.0167009045
75%,,0.00379511975,10401.25,0.035995479749999996,0.0623741675,4.350358014,15.1707107625,0.8050541627500001,1.0,0.017305718499999997,0.022149029
max,,0.349449933,1060706.0,0.046837925,0.071094395,10.11483035,15.27355519,1.12446382,1.0,0.065092059,0.043790616
